initialCost;totalEstFee
30000.00;492.50
275000.00;3101.00
56365.00;800.60
3000.00;225.00
569000.00;6074.20
35000.00;574.00
13000.00;347.40
10000.00;316.50
0.00;180.00
0.00;160.00
3000.00;225.00
3000.00;225.00
0.00;160.00
6000.00;135.15
16800.00;388.60
0.00;160.00
45000.00;677.00
114465.00;1398.00
1700.00;225.00
0.00;160.00
367500.00;4003.90
611875.00;6517.10
64000.00;872.70
12000.00;337.10
70800.00;944.80
64000.00;872.70
40100.00;635.80
0.00;0.00
78900.00;1027.20
192500.00;2201.40
25000.00;471.00
96800.00;603.80
20000.00;247.25
24000.00;460.70
0.00;160.00
34000.00;563.70
10000.00;446.50
23200.00;460.70
11750.00;467.10
10000.00;481.50
14000.00;357.70
16352.00;191.80
13000.00;347.40
0.00;160.00
0.00;18109.08
35500.00;584.30
157600.00;2102.72
9450.00;316.50
12000.00;166.05
0.00;180.00
3000.00;225.00
0.00;600.00
0.00;180.00
0.00;200.00
430000.00;4642.50
35000.00;574.00
2000.00;225.00
2000.00;225.00
400000.00;4333.50
1.00;280.00
30000.00;522.50
0.00;190.00
6000.00;330.30
25000.00;471.00
67000.00;958.60
36500.00;594.60
180000.00;2067.50
0.00;160.00
0.00;512.00
40000.00;625.50
500000.00;5363.50
16400.00;388.60
42440.00;656.40
225000.00;2531.00
160000.00;1861.50
15000.00;368.00
37200.00;604.90
35000.00;574.00
44000.00;666.70
18000.00;398.90
5500.00;135.15
20000.00;419.50
60000.00;831.50
23000.00;450.40
17000.00;388.60
20000.00;389.50
19000.00;409.20
97500.00;1222.90
0.00;0.00
16600.00;191.80
100.00;225.00
6400.00;285.60
111000.00;1356.80
0.00;2017.70
29970.00;522.50
16000.00;378.30
103455.00;639.85
20435.00;429.80
0.00;160.00
4600.00;265.00
150000.00;1758.50
206000.00;1165.15
107200.00;1325.90
3825000.00;39611.00
370000.00;2009.75
9000.00;306.20
5000.00;235.00
60000.00;413.25
150000.00;1758.50
606312.00;6465.60
35000.00;574.00
0.00;420.00
8500.00;276.20
0.00;160.00
256000.00;2850.30
12000.00;337.10
8000.00;295.90
0.00;657.88
56000.00;552.65
727610.00;7711.90
0.00;0.00
17000.00;388.60
2000.00;225.00
2000.00;195.00
40000.00;625.50
220000.00;2479.50
41500.00;646.10
0.00;0.00
0.00;657.04
240000.00;2685.50
500000.00;5486.36
0.00;679.00
194685.00;2222.00
97000.00;1212.60
162000.00;978.55
0.00;0.00
80000.00;1197.50
7000.00;285.60
0.00;0.00
123000.00;1480.40
11200.00;337.10
52640.00;759.40
5000.00;265.00
0.00;709.60
0.00;657.04
0.00;160.00
0.00;160.00
0.00;340.00
16710.00;388.60
0.00;657.04
12000.00;337.10
5000.00;265.00
1000.00;225.00
0.00;260.00
0.00;100.00
2500.00;225.00
211000.00;2386.80
1000.00;195.00
3000.00;225.00
169893.00;1964.50
10720.00;320.90
0.00;1104.00
24000.00;460.70
0.00;652.12
40000.00;625.50
69990.00;934.50
0.00;230.00
0.00;636.04
0.00;160.00
29000.00;512.20
205300.00;2335.30
50000.00;888.50
0.00;0.00
3000.00;225.00
55500.00;392.65
285000.00;3149.00
30000.00;522.50
10000.00;316.50
2000.00;195.00
2500.00;225.00
50000.00;728.50
49000.00;718.20
50000.00;728.50
85000.00;1249.00
3000.00;225.00
0.00;230.00
48500.00;718.20
0.00;190.00
50750.00;738.80
1670000.00;17629.50
220250.00;1242.40
4000.00;245.00
0.00;420.00
1000.00;225.00
159000.00;1851.20
250000.00;2788.50
0.00;160.00
785000.00;8299.00
40000.00;625.50
50000.00;728.50
229168.00;2582.50
155000.00;1810.00
40000.00;625.50
1000000.00;10513.50
0.00;160.00
8000.00;145.45
180000.00;2067.50
21000.00;429.80
0.00;260.00
0.00;784.00
0.00;170.00
0.00;160.00
0.00;160.00
1800.00;225.00
0.00;160.00
122000.00;1470.10
63500.00;872.70
116000.00;1408.30
10000.00;316.50
2000.00;195.00
2000.00;195.00
2000.00;195.00
0.00;160.00
60000.00;831.50
0.00;160.00
100000.00;1243.50
100.00;195.00
1000.00;280.00
112000.00;1367.10
5000.00;265.00
21000.00;429.80
0.00;160.00
73000.00;965.40
0.00;160.00
0.00;220.00
1000.00;225.00
2000.00;225.00
1000.00;280.00
225000.00;2531.00
45000.00;677.00
50000.00;728.50
18000.00;398.90
0.00;1216.00
10000.00;316.50
0.00;657.04
289408.00;3383.94
20000.00;207.25
31500.00;543.10
4000.00;245.00
0.00;0.00
5000.00;272.24
4000000.00;41413.50
1400.00;130.00
182000.00;2088.10
0.00;170.00
97800.00;1222.90
5000.00;265.00
98500.00;614.10
116100.00;1418.60
5000.00;130.00
42000.00;794.70
15000.00;181.50
101400.00;862.51
0.00;3173.14
0.00;420.00
0.00;0.00
123000.00;1480.40
20000.00;419.50
0.00;657.04
139335.00;865.25
3000.00;225.00
61600.00;852.10
0.00;180.00
138000.00;1634.90
3000.00;225.00
0.00;160.00
0.00;230.00
0.00;0.00
20000.00;419.50
0.00;200.00
18000.00;398.90
3439678.00;35645.50
0.00;200.00
40125.00;315.40
60000.00;961.50
3000.00;225.00
3000.00;225.00
0.00;500.00
25000.00;471.00
0.00;420.00
0.00;420.00
61600.00;852.10
0.00;200.00
96000.00;1202.30
129000.00;768.60
14000.00;357.70
5000.00;235.00
25000.00;471.00
75000.00;490.50
1000.00;130.00
21500.00;570.10
400000.00;4388.50
0.00;160.00
75000.00;986.00
45000.00;677.00
0.00;160.00
0.00;590.00
22370.00;382.70
100.00;225.00
12600.00;347.40
50000.00;728.50
50000.00;728.50
0.00;420.00
36500.00;649.60
0.00;420.00
5000.00;130.12
2000.00;195.00
9600.00;316.50
0.00;420.00
34500.00;574.00
0.00;180.00
41100.00;646.10
5000.00;265.00
0.00;160.00
110000.00;1346.50
3000.00;225.00
25000.00;441.00
5000.00;265.00
125000.00;1501.00
100000.00;1243.50
0.00;200.00
0.00;200.00
1000000.00;10513.50
2000.00;280.00
1000.00;195.00
138000.00;1634.90
0.00;0.00
20400.00;429.80
0.00;200.00
862127.00;9102.40
130413.00;1562.80
0.00;420.00
95000.00;1192.00
0.00;280.00
3007886.00;31355.90
0.00;420.00
3262.00;215.00
3204312.00;33225.00
0.00;5610.00
15000.00;368.00
5000.00;265.00
64250.00;883.00
59500.00;831.50
0.00;160.00
60000.00;831.50
300.00;170.00
0.00;0.00
1000.00;225.00
355000.00;3925.00
20000.00;389.50
0.00;577.72
0.00;0.00
126600.00;758.30
70000.00;934.50
143698.00;1696.70
216500.00;1261.80
0.00;817.88
59995.00;831.50
24000.00;460.70
0.00;180.00
0.00;100.00
500.00;170.00
199650.00;2328.50
7000.00;285.60
325000.00;3561.00
123000.00;1480.40
20500.00;429.80
535000.00;5724.00
86500.00;1109.60
11000.00;200.90
121000.00;1459.80
25000.00;471.00
0.00;100.00
350000.00;3818.50
194000.00;1303.35
0.00;0.00
75900.00;996.30
50000.00;728.50
52465.00;377.20
20000.00;474.50
0.00;420.00
1627.00;225.00
1250000.00;13088.50
130000.00;906.75
10000.00;316.50
0.00;0.00
791674.00;8371.10
1000.00;130.00
175000.00;2016.00
36000.00;584.30
467350.00;5033.90
248600.00;2778.20
0.00;0.00
125000.00;1501.00
0.00;420.00
565000.00;7832.96
40000.00;625.50
30000.00;522.50
135250.00;1614.30
258000.00;2870.90
2000.00;195.00
40000.00;625.50
1000.00;225.00
8900.00;306.20
116000.00;1408.30
150000.00;1758.50
62000.00;852.10
0.00;0.00
105100.00;1360.30
60000.00;831.50
259000.00;2881.20
0.00;240.00
100000.00;1243.50
410000.00;4436.50
1565000.00;16333.00
151302.00;1779.10
0.00;0.00
0.00;160.00
157000.00;1830.60
0.00;170.00
0.00;0.00
0.00;190.00
0.00;652.12
135000.00;1604.00
0.00;100.00
1.00;225.00
66700.00;665.94
26250.00;491.60
22000.00;440.10
5000.00;265.00
45000.00;618.04
81000.00;521.40
35000.00;574.00
0.00;420.00
35000.00;574.00
1000.00;130.00
0.00;160.00
25000.00;441.00
42000.00;646.10
0.00;160.00
0.00;160.00
641250.00;6826.10
0.00;630.40
497000.00;5332.60
1000.00;225.00
33000.00;553.40
5000.00;235.00
2278317.00;23687.20
34605.00;734.00
0.00;200.00
41750.00;646.10
10100.00;326.80
44000.00;666.70
14000.00;357.70
0.00;0.00
43000.00;656.40
0.00;1763.42
140000.00;1710.50
7000.00;285.60
63000.00;862.40
0.00;160.00
15000.00;368.00
9000.00;150.60
2000.00;130.00
65000.00;883.00
3000.00;195.00
0.00;709.60
5000.00;265.00
41500.00;646.10
75000.00;986.00
155000.00;1810.00
0.00;200.00
74565.00;490.50
1000.00;225.00
5000.00;265.00
2000.00;195.00
2000.00;195.00
175000.00;2016.00
0.00;640.00
2400.00;225.00
83954.00;1078.70
19000.00;409.20
5000.00;130.00
587444.00;3172.45
210000.00;2376.50
343000.00;3746.40
140000.00;825.25
7200.00;295.90
0.00;160.00
16250.00;191.80
1000.00;225.00
111000.00;1356.80
6524.00;255.60
19480.00;207.25
23000.00;382.70
0.00;0.00
180000.00;2067.50
200.00;225.00
37860.00;604.90
3000.00;225.00
450000.00;4848.50
230100.00;2592.80
785000.00;8299.00
0.00;0.00
25000.00;471.00
15000.00;368.00
0.00;2352.00
0.00;200.00
99000.00;1233.20
0.00;420.00
40000.00;510.25
50000.00;728.50
1500.00;225.00
1000.00;195.00
30000.00;522.50
1000.00;225.00
108950.00;865.60
1078000.00;11316.90
428015.00;4632.20
3000.00;225.00
30000.00;522.50
25000.00;441.00
23000.00;450.40
19000.00;409.20
40000.00;625.50
20000.00;419.50
0.00;360.00
1000.00;225.00
65000.00;1043.00
20000.00;389.50
415440.00;4658.30
90000.00;1140.50
62000.00;852.10
10000.00;286.50
69000.00;924.20
45000.00;677.00
0.00;190.00
3000.00;225.00
5000.00;265.00
584475.00;6239.00
3000.00;225.00
13000.00;171.20
10000.00;316.50
1000.00;130.00
317520.00;4214.02
65150.00;893.30
24600.00;471.00
40000.00;755.50
25000.00;471.00
0.00;0.00
83852.00;1238.70
1000.00;225.00
29800.00;682.50
16400.00;388.60
0.00;4118.24
9000.00;306.20
0.00;160.00
40000.00;625.50
5400.00;275.30
15000.00;368.00
83500.00;1078.70
136000.00;1614.30
108720.00;1336.20
8250.00;306.20
50000.00;728.50
123960.00;742.85
3500.00;245.00
100000.00;1243.50
5000.00;265.00
40600.00;635.80
65000.00;883.00
0.00;230.00
120000.00;1419.50
3000.00;225.00
100000.00;1243.50
0.00;270.00
1525.00;225.00
12000.00;337.10
0.00;0.00
225000.00;2531.00
90875.00;795.66
1100938.00;11553.80
0.00;160.00
150000.00;1813.50
70330.00;944.80
70000.00;934.50
100000.00;1243.50
1000.00;195.00
5000.00;235.00
52270.00;377.20
3000.00;225.00
55000.00;780.00
2292955.00;12253.08
100000.00;1243.50
9009.00;286.50
0.00;852.92
0.00;244.00
5000.00;265.00
300000.00;3303.50
0.00;420.00
30000.00;522.50
0.00;170.00
0.00;240.00
148800.00;1748.20
3000.00;225.00
10000.00;316.50
8400.00;306.20
1000.00;225.00
0.00;0.00
0.00;200.00
2691.00;195.00
0.00;852.92
11000.00;326.80
10.00;225.00
0.00;290.00
0.00;190.00
23370.00;227.85
12335.00;347.40
38500.00;615.20
0.00;200.00
50000.00;783.50
25000.00;233.00
0.00;180.00
50000.00;728.50
483000.00;5188.40
39000.00;615.20
0.00;250.00
480000.00;5157.50
19000.00;409.20
5000.00;265.00
25000.00;471.00
0.00;170.00
0.00;0.00
0.00;420.00
880745.00;12916.50
295200.00;3422.30
0.00;660.00
0.00;180.00
0.00;1200.00
117000.00;1418.60
9900.00;286.50
0.00;270.00
1000000.00;10513.50
271650.00;3015.10
241500.00;2706.10
460265.00;4961.80
76000.00;996.30
4000.00;245.00
0.00;290.00
496000.00;5322.30
17250.00;398.90
1000.00;225.00
50000.00;728.50
42570.00;656.40
39500.00;625.50
0.00;250.00
0.00;160.00
108450.00;1336.20
68000.00;913.90
0.00;420.00
505000.00;5580.00
66351.00;903.60
118000.00;1428.90
8000.00;265.90
2800.00;225.00
19900.00;419.50
0.00;0.00
47000.00;697.60
36200.00;594.60
100000.00;1243.50
200000.00;2273.50
0.00;268.00
7000.00;285.60
9740.00;155.75
3000.00;225.00
5000.00;130.00
0.00;160.00
0.00;270.00
126500.00;1521.60
0.00;420.00
45000.00;336.00
20000.00;419.50
11525.00;337.10
250000.00;2918.50
378000.00;4106.90
15000.00;368.00
42190.00;656.40
1000.00;225.00
1000.00;170.00
42000.00;646.10
296000.00;3262.30
154643.00;1970.00
0.00;160.00
15000.00;181.50
70000.00;934.50
13100.00;357.70
1000.00;225.00
1000.00;225.00
2500.00;225.00
0.00;0.00
0.00;0.00
10000.00;316.50
81375.00;1058.10
31065.00;269.05
0.00;420.00
0.00;0.00
20000.00;419.50
70000.00;464.75
78750.00;511.10
0.00;420.00
5000.00;265.00
15000.00;423.00
0.00;420.00
35000.00;574.00
0.00;180.00
0.00;160.00
0.00;310.00
0.00;0.00
0.00;160.00
22500.00;450.40
65100.00;893.30
3000.00;170.00
15000.00;368.00
12000.00;337.10
0.00;160.00
25000.00;233.00
19000.00;202.10
50000.00;728.50
42000.00;320.55
0.00;260.00
15900.00;378.30
78000.00;1016.90
12938400.00;133485.20
8500.00;306.20
0.00;160.00
288000.00;3179.90
0.00;180.00
0.00;330.00
0.00;180.00
0.00;170.00
0.00;210.00
0.00;200.00
0.00;200.00
0.00;200.00
3000.00;225.00
1600000.00;16693.50
314260.00;3458.00
0.00;0.00
0.00;200.00
4500.00;235.00
5000.00;265.00
7500.00;295.90
962951.00;10132.40
390000.00;4230.50
25000.00;471.00
0.00;962.00
25000.00;471.00
0.00;464.00
7180000.00;74167.50
50000.00;728.50
0.00;160.00
336000.00;3674.30
1454000.00;15244.70
109000.00;1336.20
252000.00;2809.10
5000.00;320.00
15000.00;368.00
320000.00;3509.50
0.00;160.00
0.00;823.88
0.00;220.00
0.00;170.00
40000.00;625.50
4000.00;245.00
237109.00;2664.90
15000.00;181.50
0.00;160.00
0.00;160.00
0.00;200.00
122500.00;1480.40
3000.00;225.00
44000.00;666.70
2000.00;130.00
1000.00;290.00
0.00;420.00
335000.00;3719.00
1000.00;195.00
42000.00;646.10
50000.00;728.50
119748.00;1449.50
1000.00;225.00
3125.00;215.00
0.00;0.00
77000.00;1006.60
150000.00;1758.50
1000.00;225.00
3000.00;225.00
12500.00;347.40
0.00;200.00
100.00;195.00
10000.00;316.50
1000.00;225.00
0.00;262.00
223300.00;2520.70
401560.00;4354.10
0.00;280.00
2850.00;225.00
25000.00;601.00
50000.00;728.50
50000.00;728.50
3000.00;225.00
15000.00;181.50
1000.00;225.00
200000.00;2273.50
300000.00;3303.50
355000.00;3870.00
26875.00;491.60
50000.00;728.50
4000.00;245.00
3000.00;225.00
0.00;695.60
6000.00;245.30
117000.00;1418.60
0.00;160.00
6000.00;245.30
46000.00;687.30
100000.00;1403.50
100.00;280.00
80850.00;1047.80
22500.00;450.40
3000.00;225.00
8000.00;295.90
100724.00;1253.80
13026.00;357.70
3000.00;225.00
201780.00;1144.55
5000.00;130.00
37800.00;459.95
1000.00;225.00
0.00;0.00
0.00;160.00
38000.00;604.90
0.00;160.00
0.00;170.00
4000.00;245.00
13000.00;171.20
1000.00;390.00
5000.00;265.00
0.00;711.08
50000.00;728.50
2000.00;225.00
18350.00;409.20
42000.00;646.10
25000.00;471.00
50290.00;738.80
750000.00;7938.50
68000.00;913.90
0.00;160.00
196000.00;2232.30
1000.00;130.00
2555023.00;26540.30
85000.00;1089.00
20000.00;549.50
66000.00;893.30
7700.00;295.90
7000.00;140.30
60000.00;831.50
0.00;752.00
4000.00;245.00
0.00;180.00
12000.00;467.10
8000.00;145.45
35700.00;289.65
0.00;245.00
0.00;0.00
2000.00;225.00
1000.00;225.00
40000.00;625.50
40500.00;635.80
19000.00;409.20
1000.00;225.00
4000.00;245.00
3000.00;225.00
0.00;202.00
10000.00;316.50
0.00;0.00
30000.00;522.50
10000.00;316.50
3000.00;225.00
23250.00;460.70
35000.00;574.00
30000.00;522.50
9250.00;316.50
0.00;170.00
5000.00;265.00
4000.00;245.00
10000.00;286.50
0.00;9422.24
65670.00;893.30
12000.00;337.10
203384.00;2314.70
0.00;160.00
3000.00;225.00
28800.00;512.20
7560.00;295.90
1000.00;225.00
0.00;160.00
5000.00;130.00
0.00;872.00
513610.00;5507.70
52740.00;759.40
0.00;290.00
69000.00;924.20
0.00;420.00
9550.00;316.50
38500.00;615.20
108500.00;1336.20
1000.00;225.00
10000.00;316.50
0.00;420.00
58500.00;821.20
5000.00;265.00
5000.00;265.00
37000.00;294.80
15000.00;368.00
5000.00;265.00
15500.00;378.30
0.00;160.00
25000.00;471.00
50160.00;738.80
3000.00;225.00
0.00;420.00
202500.00;2304.40
8000.00;145.45
33725.00;279.35
8000.00;145.45
0.00;160.00
9000.00;306.20
30000.00;522.50
82000.00;1058.10
0.00;100.00
0.00;230.00
83900.00;1078.70
45000.00;336.00
23000.00;222.70
0.00;420.00
13500.00;357.70
0.00;300.00
9000000.00;92913.50
56000.00;392.65
0.00;160.00
7500.00;295.90
0.00;100.00
5000.00;265.00
900300000.00;9273303.50
145000.00;1707.00
27000.00;491.60
156350.00;1830.60
0.00;320.00
295515.00;3262.30
0.00;190.00
158000.00;1238.91
3000.00;225.00
12000.00;337.10
85000.00;1089.00
72600.00;520.20
0.00;170.00
45000.00;677.00
117000.00;1418.60
24675.00;471.00
3000.00;225.00
0.00;605.80
0.00;100.00
0.00;220.00
58900.00;821.20
0.00;160.00
250000.00;2788.50
0.00;160.00
0.00;420.00
0.00;230.00
138000.00;1634.90
720000.00;7629.50
23500.00;227.85
0.00;220.00
0.00;0.00
0.00;100.00
3000.00;225.00
67027.00;494.45
3000.00;225.00
24950.00;523.84
100000.00;1403.50
317070.00;3488.90
200000.00;2488.50
0.00;281.40
27000.00;491.60
0.00;260.00
10000.00;316.50
6000.00;275.30
86715.00;773.06
5600.00;275.30
0.00;160.00
22500.00;450.40
10000.00;286.50
18000.00;398.90
0.00;200.00
0.00;160.00
174516.00;2016.00
647000.00;6877.60
31000.00;532.80
0.00;281.40
117000.00;1418.60
1500000.00;15663.50
1000.00;280.00
54000.00;769.70
20000.00;419.50
3000.00;225.00
3000.00;225.00
300000.00;3303.50
0.00;381.04
128000.00;1531.90
165000.00;1913.00
45000.00;336.00
9000.00;276.20
151302.00;1779.10
237500.00;2664.90
0.00;10820.78
25000.00;471.00
60000.00;831.50
51000.00;738.80
0.00;160.00
100000.00;1243.50
0.00;0.00
0.00;200.00
26668.00;461.60
0.00;170.00
87005.00;557.45
60000.00;831.50
33000.00;553.40
85300.00;1099.30
25000.00;471.00
24000.00;460.70
118500.00;1439.20
5123.00;135.15
198000.00;2252.90
0.00;0.00
200000.00;2273.50
90300.00;1310.80
800000.00;8453.50
61200.00;852.10
0.00;160.00
0.00;221.04
333984.00;3653.70
6000.00;135.15
4200.00;130.00
26665.00;491.60
146200.00;2119.56
239120.00;2685.50
13000.00;347.40
0.00;160.00
0.00;160.00
47700.00;707.90
11500.00;337.10
23250.00;460.70
2500.00;225.00
4000.00;245.00
28000.00;501.90
16000.00;186.65
30000.00;652.50
45000.00;677.00
10000.00;446.50
62000.00;852.10
80000.00;1007.50
300000.00;3303.50
114628.00;1398.00
0.00;100.00
0.00;0.00
74000.00;485.35
8000.00;265.90
25700.00;451.30
74000.00;975.70
0.00;160.00
4500.00;265.00
86950.00;1109.60
100.00;225.00
150000.00;1918.50
12400.00;317.40
76000.00;495.65
0.00;100.00
255000.00;3282.14
20000.00;419.50
0.00;170.00
0.00;1960.00
6000.00;275.30
0.00;160.00
100.00;225.00
5000.00;265.00
138000.00;1634.90
41400.00;646.10
150000.00;1918.50
13000.00;347.40
100000.00;1092.73
1870000.00;19474.50
125000.00;1501.00
3000.00;225.00
0.00;170.00
192000.00;3078.10
247717.00;1675.17
0.00;0.00
8500.00;306.20
158500.00;1041.94
8000.00;145.45
11992.00;307.10
155000.00;1810.00
325000.00;3561.00
65000.00;938.00
20000.00;419.50
175150.00;2026.30
30000.00;522.50
7000.00;255.60
0.00;160.00
58000.00;810.90
0.00;200.00
0.00;160.00
9450.00;316.50
34000.00;563.70
5000.00;130.00
262620.00;2922.40
98950.00;1233.20
35000.00;734.00
0.00;0.00
800000.00;8453.50
1000.00;130.00
1000.00;195.00
10000.00;316.50
4000.00;245.00
0.00;200.00
0.00;196.00
1000.00;195.00
3500.00;130.00
1000.00;290.00
91764.00;1321.10
0.00;170.00
0.00;230.00
4660.00;235.00
0.00;576.00
49000.00;878.20
0.00;160.00
145000.00;1707.00
5000.00;235.00
0.00;180.00
0.00;600.00
37000.00;594.60
0.00;8102.46
36833.00;594.60
15000.00;368.00
3000.00;225.00
1000.00;225.00
0.00;281.40
1000.00;385.00
2000.00;225.00
41750.00;646.10
50000.00;728.50
2500.00;225.00
157000.00;1830.60
2400.00;225.00
175000.00;2016.00
15000.00;368.00
93000.00;1171.40
12000.00;307.10
20120.00;399.80
16000.00;186.65
43900.00;666.70
1000.00;195.00
126000.00;1511.30
3000.00;225.00
25000.00;471.00
25000.00;233.00
50000.00;728.50
45500.00;341.15
0.00;170.00
0.00;160.00
0.00;180.00
0.00;240.00
19250.00;419.50
1000.00;130.00
8000.00;295.90
1801834.00;18774.10
604721.00;6445.00
1000.00;195.00
1000.00;225.00
0.00;160.00
40000.00;310.25
41270.00;646.10
0.00;160.00
5000.00;265.00
0.00;180.00
87000.00;1079.60
230718.00;2592.80
8500.00;466.20
0.00;160.00
32200.00;553.40
30000.00;522.50
3495.00;215.00
336000.00;3674.30
10000.00;446.50
1000.00;225.00
0.00;0.00
0.00;260.00
7000.00;285.60
0.00;1208.00
9000.00;150.60
40000.00;624.97
20000.00;419.50
1000.00;225.00
1000.00;225.00
0.00;160.00
0.00;202.00
0.00;0.00
7500.00;295.90
117000.00;1418.60
0.00;281.40
20580.00;253.56
56000.00;790.30
0.00;281.40
62400.00;862.40
3000.00;225.00
30000.00;258.75
7500.00;295.90
0.00;160.00
117000.00;1418.60
3000.00;225.00
264677.00;2943.00
144779.00;1707.00
296600.00;3272.60
95000.00;1192.00
50000.00;728.50
11000.00;326.80
20000.00;419.50
30000.00;522.50
4000.00;245.00
4000.00;245.00
127780.00;963.45
175325.00;2026.30
500000.00;5363.50
42000.00;646.10
25000.00;233.00
5000.00;265.00
264000.00;2932.70
165136.00;959.15
119244.00;722.25
32000.00;543.10
18000.00;398.90
5000.00;265.00
8000.00;295.90
0.00;160.00
12000.00;166.05
1500.00;195.00
3000.00;225.00
0.00;400.00
80000.00;1007.50
20000.00;579.50
19000.00;569.20
1000.00;280.00
10000.00;446.50
0.00;160.00
120000.00;1449.50
126400.00;758.30
8600.00;306.20
19326.00;419.50
0.00;160.00
92978.00;1171.40
170400.00;1974.80
2000.00;170.00
0.00;2272.50
100.00;225.00
66078.00;903.60
2500.00;225.00
0.00;160.00
125000.00;1501.00
25000.00;526.00
17500.00;398.90
197500.00;2252.90
100.00;280.00
1000.00;225.00
0.00;200.00
0.00;170.00
0.00;160.00
300000.00;3303.50
50000.00;728.50
56700.00;800.60
500000.00;2719.25
3000.00;225.00
5000.00;265.00
35000.00;574.00
150000.00;1758.50
0.00;160.00
0.00;0.00
185000.00;2119.00
0.00;160.00
381390.00;4148.10
0.00;160.00
0.00;281.40
14000.00;517.70
130000.00;1607.50
20000.00;419.50
100000.00;702.57
15000.00;181.50
179750.00;2067.50
30000.00;522.50
175000.00;2016.00
1000.00;225.00
27500.00;501.90
27000.00;461.60
47500.00;707.90
0.00;0.00
10000.00;316.50
0.00;170.00
2000.00;225.00
290000.00;3200.50
136000.00;1774.30
0.00;200.00
163600.00;1902.70
87652.00;1174.90
0.00;160.00
141500.00;835.55
0.00;0.00
21500.00;217.55
124000.00;782.85
15000.00;338.00
0.00;1542.84
0.00;0.00
3000.00;225.00
4500.00;130.00
1000.00;130.00
18750.00;409.20
12000.00;337.10
200000.00;2273.50
0.00;560.00
0.00;160.00
156700.00;1830.60
137050.00;1634.90
0.00;420.00
0.00;100.00
71711.00;955.10
0.00;0.00
0.00;800.00
66500.00;903.60
0.00;280.00
45000.00;336.00
3000.00;225.00
175300.00;2026.30
122000.00;1470.10
130000.00;1552.50
0.00;160.00
0.00;0.00
1000.00;225.00
0.00;20509.32
40000.00;680.50
24000.00;227.85
3000.00;225.00
0.00;0.00
20000.00;419.50
12000.00;337.10
0.00;0.00
0.00;200.00
30000.00;522.50
52200.00;485.24
0.00;830.00
0.00;200.00
265000.00;2070.68
0.00;2513.20
0.00;160.00
0.00;0.00
150000.00;1758.50
100.00;225.00
170000.00;1275.75
0.00;0.00
0.00;0.00
50000.00;728.50
64392.00;1098.00
2000.00;225.00
2000.00;225.00
106600.00;1315.60
0.00;0.00
100000.00;659.25
45000.00;677.00
150000.00;1758.50
1000.00;225.00
0.00;200.00
85500.00;1099.30
1000.00;280.00
65000.00;749.96
1000.00;225.00
3000.00;130.00
117000.00;1418.60
7500.00;295.90
175000.00;2016.00
7500.00;295.90
57000.00;800.60
15000.00;181.50
55100.00;790.30
193800.00;2266.70
117000.00;1418.60
10000.00;316.50
0.00;170.00
117750.00;711.95
6300.00;285.60
148500.00;2300.42
50000.00;728.50
68000.00;913.90
9000.00;306.20
61900.00;852.10
344400.00;4866.00
121602.00;1470.10
0.00;208.00
0.00;971.84
22500.00;450.40
8388.00;276.20
12216.00;347.40
0.00;1040.00
0.00;100.00
66760.00;903.60
479500.00;5317.50
99400.00;1243.50
168490.00;1954.20
0.00;100.00
81000.00;1047.80
3000.00;225.00
101250.00;1424.10
0.00;160.00
8150000.00;84158.50
10.00;225.00
3000.00;225.00
30000.00;492.50
0.00;956.96
13000.00;347.40
8400.00;306.20
60000.00;831.50
117500.00;1398.90
4500.00;130.00
12000.00;337.10
24000.00;460.70
30000.00;522.50
11250.00;337.10
72650.00;965.40
37200.00;604.90
7000.00;285.60
0.00;0.00
103950.00;1284.70
0.00;160.00
255500.00;2850.30
50787.00;738.80
400000.00;4493.50
35000.00;629.00
8000.00;295.90
60000.00;831.50
3000.00;225.00
75000.00;986.00
3000.00;225.00
20000.00;207.25
0.00;0.00
117000.00;1418.60
17000.00;388.60
30000.00;522.50
2481011.00;25778.10
488303.00;5250.20
2000.00;225.00
10000.00;446.50
80000.00;1037.50
0.00;200.00
32904.00;553.40
518500.00;5559.20
170000.00;1964.50
325000.00;3561.00
90000.00;1140.50
74840.00;1146.00
41000.00;635.80
0.00;573.28
5000.00;425.00
54000.00;382.35
60000.00;831.50
20000.00;355.25
48500.00;718.20
259244.00;1483.25
25000.00;441.00
28000.00;248.45
250000.00;2788.50
60390.00;896.80
40875.00;315.40
0.00;190.00
21000.00;252.40
5400.00;275.30
0.00;573.28
1050.00;225.00
10000.00;371.50
84510.00;1249.00
0.00;160.00
18000.00;356.95
45000.00;677.00
0.00;5475.00
6000.00;135.15
10000.00;316.50
21300.00;217.55
42120.00;656.40
0.00;230.00
0.00;130.00
20000.00;419.50
60000.00;413.25
20000.00;419.50
31000.00;532.80
238280.00;2675.20
100.00;170.00
6000.00;275.30
81100.00;1058.10
25000.00;471.00
251000.00;2798.80
27600.00;501.90
10800.00;326.80
2500.00;225.00
14000.00;357.70
223740.00;1615.53
0.00;200.00
3400.00;215.00
0.00;160.00
0.00;160.00
6600.00;285.60
191280.00;2191.10
3000.00;225.00
35000.00;574.00
3000.00;225.00
120850.00;1459.80
100000.00;1243.50
190075.00;2180.80
15000.00;368.00
0.00;160.00
3000.00;225.00
5000.00;130.00
0.00;200.00
16770.00;388.60
6250779.00;64598.80
100.00;280.00
5000.00;235.00
67000.00;903.60
45695.00;847.30
